genes,modules
H2AC13,M2
CNOT6,M2
SCD,M1
FAM210B,M1
CEACAM8,M3
PRDX2,M1
MXI1,M1
XPO7,M1
SYNE1,M3
H3C7,M2
NUP214,M2
TNS1,M1
SNCA,M1
BPI,M3
CD38,M2
SPTB,M1
VSIR,M3
BCL2L1,M1
H3C8,M2
MT-RNR1,M2
MT-ND2,M2
RN7SKP255,M5
XIST,Not.Correlated
BAG1,M1
ARHGEF12,M1
TRAK2,M1
RN7SL4P,M3
BLVRB,M1
MMP9,M3
HPS1,M1
TRBC1,M4
FCN1,M3
ARHGEF7,Not.Correlated
GLRX5,M1
SPTLC2,M5
PIM1,M1
MICAL2,M1
BAHCC1,M2
OPTN,M1
EEF1A1P6,Not.Correlated
GABARAPL2,M1
PLBD1,M3
LCN2,M3
PYGL,M3
MGAM,M3
PPBP,M3
ELOVL4,Not.Correlated
LPIN2,M1
MED12L,M5
R3HDM4,M1
AHSP,M1
DPP4,M2
CCND2,M5
SELENBP1,M1
CPEB4,M1
AKAP12,M1
SOCS2,M2
CR2,M1
CSF3R,M3
CA2,M1
F13A1,M3
TMCC2,M1
GRN,M3
OLFM4,M3
SPECC1,M1
DMTN,M1
TRAC,Not.Correlated
L1TD1,M2
TRBV4-2,M2
ZBTB16,M5
TRBV19,Not.Correlated
TUBB1,M3
